Team,Conference,Year,Target,Win %,Off.Rank,Def.Rank,Avg.Turnover.Margin.per.Game,Points.Per.Game,Avg.Points.per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Rushing.Yards.per.Game,Pass.Yards.Per.Game.Allowed,Pass.Yards.Per.Game,Off.Yards.Play,Yards.Play.Allowed,X3rd.Percent,Opponent.3rd.Percent,Redzone.Points,Redzone.Points.Allowed
Oklahoma St.,Big 12,2013,1,0.7692307692307693,37,52,1.15,39.1,21.6,142.4,171.6,242.5,277.2,5.91,4.77,0.388,0.314,0.875,0.711
Ole Miss,,2013,0,0.6153846153846154,21,38,0.08,30.0,23.7,154.9,190.0,215.5,283.3,6.04,5.25,0.457,0.401,0.739,0.851
Oregon,Pac-12,2013,1,0.8461538461538461,2,37,0.77,45.5,20.5,165.5,273.5,204.5,291.5,7.55,4.62,0.431,0.403,0.784,0.804
Oregon St.,Pac-12,2013,0,0.5384615384615384,26,100,0.23,34.8,31.4,190.3,94.4,246.3,372.6,6.19,6.14,0.406,0.404,0.794,0.917
Penn St.,Big Ten,2013,0,0.5833333333333334,43,48,-0.17,28.7,26.2,144.0,174.0,237.3,259.2,5.71,5.3,0.343,0.365,0.82,0.842
Pittsburgh,ACC,2013,0,0.5384615384615384,97,34,-0.08,26.3,27.2,149.0,125.7,218.5,236.5,5.52,5.52,0.382,0.383,0.844,0.925
Purdue,Big Ten,2013,0,0.08333333333333333,119,104,-0.25,14.9,38.0,235.4,67.1,224.5,215.8,4.56,6.23,0.308,0.565,0.731,0.929
Rice,C-USA,2013,0,0.7142857142857143,68,30,0.5,29.6,24.4,161.4,227.4,202.7,178.2,5.43,5.33,0.394,0.349,0.902,0.889
Rutgers,AAC,2013,0,0.46153846153846156,95,73,-0.92,26.5,29.8,100.8,129.5,312.0,235.6,5.29,5.68,0.353,0.416,0.764,0.875
SMU,AAC,2013,0,0.4166666666666667,41,72,-0.58,26.8,33.3,140.8,93.8,271.8,341.4,5.53,5.58,0.389,0.412,0.78,0.88
South Alabama,Sun Belt,2013,0,0.5,50,50,0.42,29.4,25.2,159.7,172.8,224.6,252.8,5.79,5.62,0.4,0.364,0.8,0.878
South Carolina,SEC,2013,1,0.8461538461538461,36,19,1.0,34.1,20.3,153.8,198.5,196.2,253.8,6.39,5.46,0.439,0.373,0.865,0.804
South Fla.,AAC,2013,0,0.16666666666666666,121,21,-0.33,13.8,28.6,139.8,88.7,211.0,166.8,4.28,5.42,0.279,0.39,0.737,0.778
Southern California,Pac-12,2013,0,0.7142857142857143,72,13,0.36,29.7,21.2,120.6,172.8,214.6,227.1,6.06,4.98,0.351,0.327,0.925,0.628
Southern Miss.,C-USA,2013,0,0.08333333333333333,114,99,-1.58,17.1,41.9,224.6,72.9,210.9,242.6,4.62,5.87,0.296,0.459,0.735,0.946
Stanford,Pac-12,2013,1,0.7857142857142857,69,16,0.0,32.3,19.0,89.4,207.4,253.8,197.9,6.34,4.86,0.497,0.322,0.904,0.744
Syracuse,ACC,2013,0,0.5384615384615384,85,33,0.15,22.7,25.4,137.4,194.8,229.8,182.0,5.11,5.32,0.388,0.335,0.804,0.85
TCU,Big 12,2013,0,0.3333333333333333,104,24,-0.17,25.1,25.3,130.8,118.6,225.6,226.3,5.03,4.83,0.32,0.36,0.878,0.837
Temple,AAC,2013,0,0.16666666666666666,74,108,-0.5,24.9,29.8,175.0,149.3,298.6,249.7,5.7,6.4,0.422,0.409,0.784,0.843
Tennessee,SEC,2013,0,0.4166666666666667,102,83,0.08,23.8,29.0,207.3,188.4,211.1,164.9,5.27,6.07,0.358,0.425,0.773,0.735
Texas,Big 12,2013,0,0.6153846153846154,64,68,0.31,29.3,25.8,183.1,196.2,224.2,212.5,5.29,5.48,0.405,0.368,0.881,0.865
Texas A&M,SEC,2013,0,0.6923076923076923,4,109,0.08,44.2,32.2,222.3,185.1,253.5,353.3,7.34,6.36,0.503,0.41,0.808,0.875
Texas St.,Sun Belt,2013,0,0.5,111,58,0.17,23.9,27.3,147.4,171.5,249.3,154.8,5.08,5.41,0.339,0.395,0.811,0.844
Texas Tech,Big 12,2013,0,0.6153846153846154,8,84,-1.08,35.8,30.5,201.5,118.2,217.1,392.8,5.85,5.36,0.45,0.343,0.886,0.837
